id	filename	md5	size	state
50e97c20-f0af-43ec-8592-648d15f36d18	50e97c20-f0af-43ec-8592-648d15f36d18/f2054d74-4b70-4914-b791-68dca77c289d.wxs.aliquot_ensemble_masked.maf.gz	951895db023af64a3fd765f087efe6a5	9338	validated
51d1eb25-0fda-42f4-b274-b25e029b94a9	51d1eb25-0fda-42f4-b274-b25e029b94a9/f65cf0da-72ac-438f-b01a-841d20a42ee8.wxs.aliquot_ensemble_masked.maf.gz	5d27f72778a3be5ad90a230931114c61	9009	validated
5415a7bd-953b-41ca-8354-190df9864eb7	5415a7bd-953b-41ca-8354-190df9864eb7/8c685296-f476-4da9-a860-45db1bb99281.wxs.aliquot_ensemble_masked.maf.gz	3d2f81a4411a613a574f596d03935482	8546	validated
54f69789-a30a-4b78-b68e-1e7cac8bafac	54f69789-a30a-4b78-b68e-1e7cac8bafac/155f92f0-98ce-44a1-88e2-9078ac132342.wxs.aliquot_ensemble_masked.maf.gz	be93385d5b07ef29b34824c4e7ac35fa	7715	validated
562638a6-b0ab-4417-abbe-86f5e947273e	562638a6-b0ab-4417-abbe-86f5e947273e/e4d2d3b6-bfd3-4465-a3ec-416b8f9fe4a9.wxs.aliquot_ensemble_masked.maf.gz	60c30eec2dc5883ef76546a0dd935621	9509	validated
594d5b64-75f2-4e04-b6e4-38918f7a31bb	594d5b64-75f2-4e04-b6e4-38918f7a31bb/af1eb984-d22f-4666-93ac-0b29ea73bc1e.wxs.aliquot_ensemble_masked.maf.gz	aaccd6700827e95a26e541da5163594b	13178	validated
6159ead8-1edc-445b-ba2e-dec4e8aa1a2d	6159ead8-1edc-445b-ba2e-dec4e8aa1a2d/e5bf9218-15d7-4e87-b6e4-0110aead24b8.wxs.aliquot_ensemble_masked.maf.gz	7cb7ed82b64bcbb84d363ca1dd415e9f	16750	validated
61715889-d676-4a3c-a2c6-67cc54dfa74f	61715889-d676-4a3c-a2c6-67cc54dfa74f/32f1e2d0-d074-4ac5-be6b-44d55202511e.wxs.aliquot_ensemble_masked.maf.gz	04a644533f51d67467f2b5e067ad5a51	12684	validated
64f525a9-eb4c-4f9c-9915-b877df0f38b9	64f525a9-eb4c-4f9c-9915-b877df0f38b9/8f8651c1-b882-4bf2-8eea-742bc1896681.wxs.aliquot_ensemble_masked.maf.gz	149caf45cd04688ceb6cd93ac26bc855	6854	validated
65edfddf-0e73-49a3-9bd1-efa61c120804	65edfddf-0e73-49a3-9bd1-efa61c120804/44d2ad11-a3d8-46f0-9f25-9ad07f926e2f.wxs.aliquot_ensemble_masked.maf.gz	e7856c8fc3d29b304fc4ad18cda227dd	7972	validated
6b80b568-bcda-40b3-9f6f-c4a02cfb350f	6b80b568-bcda-40b3-9f6f-c4a02cfb350f/cb0a4f2e-27ca-42ce-90f6-2e328fbf2a2e.wxs.aliquot_ensemble_masked.maf.gz	d8d53ecd5bf49387607a3f6c01e05971	17831	validated
72001bf6-c4c0-4186-b42d-db43c8654f52	72001bf6-c4c0-4186-b42d-db43c8654f52/612a9d4e-bed8-46c1-a8ee-5b8104508cdc.wxs.aliquot_ensemble_masked.maf.gz	21e7d7f057a34b949d888aa072ad01b1	14168	validated
73c7a82b-ac74-4da5-87d0-1a4d5e36de82	73c7a82b-ac74-4da5-87d0-1a4d5e36de82/ca90fa3f-a802-4193-a484-c750ac36649b.wxs.aliquot_ensemble_masked.maf.gz	90e73f44e68c88aa860c034445d10a56	9719	validated
73d6cfdf-b735-4a2f-9916-3f62955260a9	73d6cfdf-b735-4a2f-9916-3f62955260a9/26e955fa-ad0a-4582-8cd6-def49aab3a85.wxs.aliquot_ensemble_masked.maf.gz	8999d8c867a1d9c55643dff4a6c5ec52	8691	validated
74e4339f-32dc-47f5-ac4c-d4d1aa66d18e	74e4339f-32dc-47f5-ac4c-d4d1aa66d18e/4e992800-4c9f-4584-8815-d7a43253b16e.wxs.aliquot_ensemble_masked.maf.gz	ef3b117e3791bef7bb5dbfffc9fba91c	18121	validated
77bccbde-b0b4-4f60-befd-02548866b2f4	77bccbde-b0b4-4f60-befd-02548866b2f4/12cebe41-e807-4ead-87d9-084b763840a3.wxs.aliquot_ensemble_masked.maf.gz	f91a79c004349c079d8d3624e8b472d8	11325	validated
7843e728-f603-4ddf-9830-2deca3edb95d	7843e728-f603-4ddf-9830-2deca3edb95d/c667a380-8a1d-4775-9475-18baa63fcfbd.wxs.aliquot_ensemble_masked.maf.gz	78a32be22afcd1c702c37669b318e8db	17818	validated
7c8929bd-9723-4a58-b666-e29b5ba9429c	7c8929bd-9723-4a58-b666-e29b5ba9429c/f240f0be-cd56-45e4-bd81-2404253c776f.wxs.aliquot_ensemble_masked.maf.gz	dc0f017a2f5eaba98ea5c42ec4ca8bcf	14398	validated
7fab5c3b-7031-4aa2-8f6d-cbd77bbd8dbe	7fab5c3b-7031-4aa2-8f6d-cbd77bbd8dbe/d74d21bf-697e-45d6-8d7d-08a3ad0d142f.wxs.aliquot_ensemble_masked.maf.gz	2b380d164613833332d7c7ada70b081a	17851	validated
80fd76a2-c757-4c9c-bf5c-e81964b53c47	80fd76a2-c757-4c9c-bf5c-e81964b53c47/3bd256bf-7364-4add-aff9-e7a532dde49b.wxs.aliquot_ensemble_masked.maf.gz	a4235694fc4aedc52243a1332e5beb0a	12348	validated
82628585-3868-4b5c-b049-e2266d195af0	82628585-3868-4b5c-b049-e2266d195af0/8719a033-327a-4e4b-947e-fb6e995a4075.wxs.aliquot_ensemble_masked.maf.gz	f37a6094913d909f1ef6d24a65fd20fd	11006	validated
